Frequency (Hz);Amplitude (V);Phase (deg)
31030.79428190504; 6.13976704007e-09; 89.9402287133
31031.12627473515; 7.24396069716e-09; 80.5766729794
31031.45826756526; 7.11217572185e-09; 86.724512717
31031.79026039538; 6.76658908198e-09; 91.163340099
31032.12225322549; 6.50580094033e-09; 90.6840242865
31032.45424605561; 6.45905167425e-09; 105.743534304
31032.78623888572; 6.08038987839e-09; 90.1354480912
31033.11823171584; 5.06678022673e-09; 71.7036071506
31033.45022454595; 8.23298457551e-09; 85.1430277868
31033.78221737607; 6.51085878237e-09; 93.0509941808
31034.11421020618; 7.20712794754e-09; 92.2477517605
31034.4462030363; 6.31638475139e-09; 76.4524393428
31034.77819586641; 8.17000729075e-09; 89.1172494405
31035.11018869652; 6.81985416027e-09; 105.499301988
31035.44218152664; 6.86672519277e-09; 99.8525758527
31035.77417435675; 6.30465211106e-09; 86.7908526958
31036.10616718687; 6.75779566098e-09; 89.4495733501
31036.43816001698; 7.1430550327e-09; 107.554631508
31036.7701528471; 6.93931176663e-09; 80.6862115526
31037.10214567721; 5.66446997595e-09; 87.2681861154
31037.43413850732; 7.66674824948e-09; 83.7894834795
31037.76613133744; 8.45663710804e-09; 96.0935515862
31038.09812416755; 7.64341119709e-09; 90.7893200893
31038.43011699767; 6.27778887267e-09; 93.5193621993
31038.76210982778; 7.96365976225e-09; 79.4868788759
31039.09410265789; 6.06661439418e-09; 98.4510904862
31039.42609548801; 6.77817304215e-09; 81.6159020442
31039.75808831813; 6.78443251488e-09; 86.6398923873
31040.09008114824; 6.4156966758e-09; 99.3100829806
31040.42207397836; 6.47752091013e-09; 88.9609882812
31040.75406680847; 7.29969104257e-09; 88.4785470502
31041.08605963858; 7.03388361775e-09; 92.1571366195
31041.4180524687; 5.79634835405e-09; 96.8648466015
31041.75004529881; 6.48629472293e-09; 98.0549746643
31042.08203812893; 5.87050351536e-09; 94.1213813077
31042.41403095904; 7.58811815474e-09; 105.51935996
31042.74602378915; 7.96169311405e-09; 80.3860948429
31043.07801661927; 6.08043778626e-09; 91.3077392138
31043.41000944938; 7.03451662696e-09; 90.7426457004
31043.7420022795; 6.87760186125e-09; 86.9231883122
31044.07399510961; 8.05320250646e-09; 94.0629805898
31044.40598793973; 7.54057759183e-09; 82.4832819581
31044.73798076984; 5.64744861606e-09; 80.8720791023
31045.06997359996; 6.978418858e-09; 80.8494207748
31045.40196643007; 8.48944742923e-09; 83.1471797298
31045.73395926019; 6.30994366163e-09; 105.184277205
